Nbre_de_piece,Prix,Adresse,Image_URL
4,300000CFA,"Djily MBaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369124_uploaded_image1_1749631838.jpg
2,250000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392848_uploaded_image1_1750922578.jpg
4,1600000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382989_uploaded_image1_1750371807.jpg
2,75000000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5382982_uploaded_image1_1750371536.jpg
2,165000000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382971_uploaded_image1_1750371286.jpg
4,900000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382945_uploaded_image1_1750370483.jpg
4,900000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382907_uploaded_image1_1750369431.jpg
3,400000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392437_uploaded_image1_1750888052.jpg
3,350000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382885_uploaded_image1_1750368624.jpg
3,290000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382871_uploaded_image1_1750368138.jpg
8,200000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_5348341_uploaded_image1_1748369367.jpg
3,450000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348364_uploaded_image1_1748371157.jpg
4,450000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348362_uploaded_image1_1748371030.jpg
2,200000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5382617_uploaded_image1_1750354976.jpg
3,380000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348386_uploaded_image1_1748371917.jpg
3,290000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348378_uploaded_image1_1748371650.jpg
3,350000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348374_uploaded_image1_1748371512.jpg
2,250000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349333_uploaded_image1_1748433482.jpg
3,400000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349351_uploaded_image1_1748433922.jpg
3,350000CFA,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349329_uploaded_image1_1748433252.jpg
4,1200000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368303_uploaded_image1_1749574368.jpg
3,290000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349319_uploaded_image1_1748432855.jpg
1,180000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349322_uploaded_image1_1748433022.jpg
2,250000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5392072_uploaded_image1_1750871424.jpg
4,700000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5373119_uploaded_image1_1749831824.jpg
3,225000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391893_uploaded_image1_1750864129.jpg
3,600000CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5382315_uploaded_image1_1750343735.jpg
4,800000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5347743_uploaded_image1_1748346001.jpg
6,400000000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391708_uploaded_image1_1750855384.jpg
3,210000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391358_uploaded_image1_1750844847.jpg
3,54000000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5391176_uploaded_image1_1750835883.jpg
3,165000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5390901_uploaded_image1_1750810505.jpg
3,300000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346857_uploaded_image1_1748287540.jpg
5,800000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390489_uploaded_image1_1750793750.jpg
2,1200000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349968_uploaded_image1_1748456207.jpg
4,370000CFA,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349854_uploaded_image1_1748449223.jpg
5,912000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5390016_uploaded_image1_1750777950.jpg
4,1300000CFA,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5370111_uploaded_image1_1749666620.jpg
4,180000000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349092_uploaded_image1_1748423919.jpg
3,225CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389545_uploaded_image1_1750759074.jpg
3,35000000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388533_uploaded_image1_1750695633.jpg
12,550000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5347875_uploaded_image1_1748351898.jpg
3,68000000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388321_uploaded_image1_1750686873.jpg
2,175000CFA,"Ngaparou, Sénégal",https://images.coinafrique.com/thumb_5347533_uploaded_image1_1748339831.jpg
4,400000CFA,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5387310_uploaded_image1_1750631848.jpg
4,700000CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5387307_uploaded_image1_1750631742.jpg
1,180000CFA,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5343944_uploaded_image1_1748111914.jpg
4,2500000CFA,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346599_uploaded_image1_1748276575.jpg
4,45000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386813_uploaded_image1_1750610133.jpg
2,200000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346057_uploaded_image1_1748262153.jpg
3,225000CFA,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346041_uploaded_image1_1748261851.jpg
4,350000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346034_uploaded_image1_1748261703.jpg
4,300000CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386552_uploaded_image1_1750595935.jpg
3,600000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5345358_uploaded_image1_1748216720.jpg
4,375000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5386114_uploaded_image1_1750551738.jpg
2,350000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5345355_uploaded_image1_1748216477.jpg
6,1500000CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344822_uploaded_image1_1748193137.jpg
